id,title,published,num_authors,categories,summary
2510.16500v1,Advancing Off-Road Autonomous Driving: The Large-Scale ORAD-3D Dataset and Comprehensive Benchmarks,2025-10-18,15,cs.RO,"A major bottleneck in off-road autonomous driving research lies in the scarcity of large-scale, high-quality datasets and benchmarks. To bridge this gap, we present ORAD-3D, which, to the best of our knowledge, is the largest dataset specifically curated for off-road autonomous driving. ORAD-3D cove"
2209.11115v1,Uncertainty-aware Perception Models for Off-road Autonomous Unmanned Ground Vehicles,2022-09-22,7,cs.RO;cs.CV;cs.LG,"Off-road autonomous unmanned ground vehicles (UGVs) are being developed for military and commercial use to deliver crucial supplies in remote locations, help with mapping and surveillance, and to assist war-fighters in contested environments. Due to complexity of the off-road environments and variab"
2509.19378v1,Vision-Based Perception for Autonomous Vehicles in Off-Road Environment Using Deep Learning,2025-09-20,1,cs.CV;cs.AR;cs.LG;eess.IV;eess.SP,"Low-latency intelligent systems are required for autonomous driving on non-uniform terrain in open-pit mines and developing countries. This work proposes a perception system for autonomous vehicles on unpaved roads and off-road environments, capable of navigating rough terrain without a predefined t"
2507.12731v1,Learning to Predict Mobile Robot Stability in Off-Road Environments,2025-07-17,4,cs.RO,"Navigating in off-road environments for wheeled mobile robots is challenging due to dynamic and rugged terrain. Traditional physics-based stability metrics, such as Static Stability Margin (SSM) or Zero Moment Point (ZMP) require knowledge of contact forces, terrain geometry, and the robot's precise"
2501.13988v1,MCRL4OR: Multimodal Contrastive Representation Learning for Off-Road Environmental Perception,2025-01-23,3,cs.RO;cs.AI;cs.CV,"Most studies on environmental perception for autonomous vehicles (AVs) focus on urban traffic environments, where the objects/stuff to be perceived are mainly from man-made scenes and scalable datasets with dense annotations can be used to train supervised learning models. By contrast, it is hard to"
2604.27499v1,Towards All-Day Perception for Off-Road Driving: A Large-Scale Multispectral Dataset and Comprehensive Benchmark,2026-04-30,7,cs.CV,"Off-road nighttime autonomous driving suffers from unreliable visible-light perception, making infrared modality crucial for accurate freespace detection. However, progress remains limited due to the scarcity of annotated infrared off-road datasets and the inter-frame inconsistencies inherent to cur"
2601.03519v2,A Vision-Language-Action Model with Visual Prompt for OFF-Road Autonomous Driving,2026-01-07,9,cs.RO,"Efficient trajectory planning in off-road terrains presents a formidable challenge for autonomous vehicles, often necessitating complex multi-step pipelines. However, traditional approaches exhibit limited adaptability in dynamic environments. To address these limitations, this paper proposes OFF-EM"
2604.03096v1,An Open-Source LiDAR and Monocular Off-Road Autonomous Navigation Stack,2026-04-03,8,cs.RO,"Off-road autonomous navigation demands reliable 3D perception for robust obstacle detection in challenging unstructured terrain. While LiDAR is accurate, it is costly and power-intensive. Monocular depth estimation using foundation models offers a lightweight alternative, but its integration into ou"
2012.13014v1,Low-latency Perception in Off-Road Dynamical Low Visibility Environments,2020-12-23,10,cs.CV;cs.LG;cs.RO;eess.IV,"This work proposes a perception system for autonomous vehicles and advanced driver assistance specialized on unpaved roads and off-road environments. In this research, the authors have investigated the behavior of Deep Learning algorithms applied to semantic segmentation of off-road environments and"
2410.01105v2,M2P2: A Multi-Modal Passive Perception Dataset for Off-Road Mobility in Extreme Low-Light Conditions,2024-10-01,11,cs.RO,"Long-duration, off-road, autonomous missions require robots to continuously perceive their surroundings regardless of the ambient lighting conditions. Most existing autonomy systems heavily rely on active sensing, e.g., LiDAR, RADAR, and Time-of-Flight sensors, or use (stereo) visible light imaging "
2603.17056v1,DesertFormer: Transformer-Based Semantic Segmentation for Off-Road Desert Terrain Classification in Autonomous Navigation Systems,2026-03-17,1,cs.CV;cs.LG,"Reliable terrain perception is a fundamental requirement for autonomous navigation in unstructured, off-road environments. Desert landscapes present unique challenges due to low chromatic contrast between terrain categories, extreme lighting variability, and sparse vegetation that defy the assumptio"
2310.19113v1,Dynamic V2X Autonomous Perception from Road-to-Vehicle Vision,2023-10-29,7,cs.CV;cs.AI;eess.SP,"Vehicle-to-everything (V2X) perception is an innovative technology that enhances vehicle perception accuracy, thereby elevating the security and reliability of autonomous systems. However, existing V2X perception methods focus on static scenes from mainly vehicle-based vision, which is constrained b"
2503.13787v2,A Systematic Digital Engineering Approach to Verification & Validation of Autonomous Ground Vehicles in Off-Road Environments,2025-03-18,9,cs.RO,"The engineering community currently encounters significant challenges in the systematic development and validation of autonomy algorithms for off-road ground vehicles. These challenges are posed by unusually high test parameters and algorithmic variants. In order to address these pain points, this w"
2502.11426v2,Verti-Bench: A General and Scalable Off-Road Mobility Benchmark for Vertically Challenging Terrain,2025-02-17,7,cs.RO,"Recent advancement in off-road autonomy has shown promises in deploying autonomous mobile robots in outdoor off-road environments. Encouraging results have been reported from both simulated and real-world experiments. However, unlike evaluating off-road perception tasks on static datasets, benchmark"
2210.14721v1,Sim-to-Real via Sim-to-Seg: End-to-end Off-road Autonomous Driving Without Real Data,2022-10-25,8,cs.LG;cs.AI,"Autonomous driving is complex, requiring sophisticated 3D scene understanding, localization, mapping, and control. Rather than explicitly modelling and fusing each of these components, we instead consider an end-to-end approach via reinforcement learning (RL). However, collecting exploration driving"
2406.09773v1,Research on Edge Detection of LiDAR Images Based on Artificial Intelligence Technology,2024-06-14,5,cs.CV;cs.AI,"With the widespread application of Light Detection and Ranging (LiDAR) technology in fields such as autonomous driving, robot navigation, and terrain mapping, the importance of edge detection in LiDAR images has become increasingly prominent. Traditional edge detection methods often face challenges "
2508.16104v1,Validating Terrain Models in Digital Twins for Trustworthy sUAS Operations,2025-08-22,6,cs.SE;cs.RO,"With the increasing deployment of small Unmanned Aircraft Systems (sUAS) in unfamiliar and complex environments, Environmental Digital Twins (EDT) that comprise weather, airspace, and terrain data are critical for safe flight planning and for maintaining appropriate altitudes during search and surve"
1305.5728v1,Edge Detection in Radar Images Using Weibull Distribution,2013-05-24,2,cs.CV,Radar images can reveal information about the shape of the surface terrain as well as its physical and biophysical properties. Radar images have long been used in geological studies to map structural features that are revealed by the shape of the landscape. Radar imagery also has applications in veg
2503.09187v1,Polygonizing Roof Segments from High-Resolution Aerial Images Using Yolov8-Based Edge Detection,2025-03-12,3,cs.CV,"This study presents a novel approach for roof detail extraction and vectorization using remote sensing images. Unlike previous geometric-primitive-based methods that rely on the detection of corners, our method focuses on edge detection as the primary mechanism for roof reconstruction, while utilizi"
2604.22331v1,Depth-Aware Rover: A Study of Edge AI and Monocular Vision for Real-World Implementation,2026-04-24,4,cs.CV,"This study analyses simulated and real-world implementations of depth-aware rover navigation, highlighting the transition from stereo vision to monocular depth estimation using edge AI. A Unity-based lunar terrain simulator with stereo cameras and OpenCV's StereoSGBM was used to generate disparity m"
1106.0136v2,Mapping Clouds and Terrain of Earth-like Planets from Photometric Variability: Demonstration with Planets in Face-on Orbits,2011-06-01,2,astro-ph.EP,"We develop an inversion technique of annual scattered light curves to sketch a two-dimensional albedo map of exoplanets in face-on orbits. As a test-bed for future observations of extrasolar terrestrial planets, we apply this mapping technique to simulated light curves of a mock Earth-twin at a dist"
2603.13993v1,VAD4Space: Visual Anomaly Detection for Planetary Surface Imagery,2026-03-14,6,cs.CV;cs.AI,"Space missions generate massive volumes of high-resolution orbital and surface imagery that far exceed the capacity for manual inspection. Detecting rare phenomena is scientifically critical, yet traditional supervised learning struggles due to scarce labeled examples and closed-world assumptions th"
2402.13918v3,BenchCloudVision: A Benchmark Analysis of Deep Learning Approaches for Cloud Detection and Segmentation in Remote Sensing Imagery,2024-02-21,4,cs.CV;cs.LG;eess.IV,"Satellites equipped with optical sensors capture high-resolution imagery, providing valuable insights into various environmental phenomena. In recent years, there has been a surge of research focused on addressing some challenges in remote sensing, ranging from water detection in diverse landscapes "
2509.06682v1,An Adaptive Coverage Control Approach for Multiple Autonomous Off-road Vehicles in Dynamic Agricultural Fields,2025-09-08,3,cs.RO;eess.SY,"This paper presents an adaptive coverage control method for a fleet of off-road and Unmanned Ground Vehicles (UGVs) operating in dynamic (time-varying) agricultural environments. Traditional coverage control approaches often assume static conditions, making them unsuitable for real-world farming sce"
2605.14326v1,D2-CDIG: Controlled Diffusion Remote Sensing Image Generation with Dual Priors of DEM and Cloud-Fog,2026-05-14,6,cs.CV,"Remote sensing image generation provides a reliable data foundation for remote sensing large models and downstream tasks. However, existing controllable remote sensing image generation methods typically rely on traditional techniques such as segmentation and edge detection, which do not fully levera"
2511.07928v1,An Image-Based Path Planning Algorithm Using a UAV Equipped with Stereo Vision,2025-11-11,2,cs.CV;cs.RO,"This paper presents a novel image-based path planning algorithm that was developed using computer vision techniques, as well as its comparative analysis with well-known deterministic and probabilistic algorithms, namely A* and Probabilistic Road Map algorithm (PRM). The terrain depth has a significa"
2507.14697v3,GTPBD: A Fine-Grained Global Terraced Parcel and Boundary Dataset,2025-07-19,7,cs.CV,"Agricultural parcels serve as basic units for conducting agricultural practices and applications, which is vital for land ownership registration, food security assessment, soil erosion monitoring, etc. However, existing agriculture parcel extraction studies only focus on mid-resolution mapping or re"
1405.7771v1,DEM Registration and Error Analysis using ASCII values,2014-05-30,3,cs.CV,"Digital Elevation Model (DEM), while providing a bare earth look, is heavily used in many applications including construction modeling, visualization, and GIS. Their registration techniques have not been explored much. Methods like Coarse-to-fine or pyramid making are common in DEM-to-image or DEM-t"
2505.21810v2,SHARAD Illuminates Deeper Martian Subsurface Structures with a Boost from Very Large Rolls of the MRO Spacecraft,2025-05-27,9,astro-ph.EP;astro-ph.IM;physics.geo-ph,"Throughout its mission, the Mars Reconnaissance Orbiter (MRO) has often rolled about its along-track axis by up to 28° to partially compensate for the suboptimal location of the Shallow Radar (SHARAD) antenna along an edge of the spacecraft that is opposite the imaging payload deck, thereby enhancin"
2606.14767v1,Synthetic-to-Real Pipeline for Safe Landing Zone Detection,2026-06-09,2,cs.RO,"As Uncrewed Aerial Vehicles (UAVs) transition toward higher levels of autonomy, the ability to perform unassisted recovery in non-cooperative, unstructured environments becomes critical. Achieving safe autonomous landing requires high-fidelity semantic resolution to distinguish navigable terrain fro"
2502.05498v2,Riemannian Manifold Learning for Stackelberg Games with Neural Flow Representations,2025-02-08,4,cs.LG;cs.AI;cs.GT;cs.MA,"We present a novel framework for online learning in Stackelberg general-sum games, where two agents, the leader and follower, engage in sequential turn-based interactions. At the core of this approach is a learned diffeomorphism that maps the joint action space to a smooth spherical Riemannian manif"
2002.04881v3,Learning Flat Latent Manifolds with VAEs,2020-02-12,5,stat.ML;cs.LG,"Measuring the similarity between data points often requires domain knowledge, which can in parts be compensated by relying on unsupervised methods such as latent-variable models, where similarity/distance is estimated in a more compact latent space. Prevalent is the use of the Euclidean metric, whic"
1712.00465v1,Subject Selection on a Riemannian Manifold for Unsupervised Cross-subject Seizure Detection,2017-12-01,2,cs.LG;stat.ML,"Inter-subject variability between individuals poses a challenge in inter-subject brain signal analysis problems. A new algorithm for subject-selection based on clustering covariance matrices on a Riemannian manifold is proposed. After unsupervised selection of the subsets of relevant subjects, data "
2605.09238v1,Intrinsic Muon: Spectral Optimization on Riemannian Matrix Manifolds,2026-05-10,7,cs.LG;cs.AI,"Muon and related norm-constrained matrix optimizers have become central to large-scale learning problems. They are formulated as a linear maximization oracle (LMO) over an ambient matrix-norm ball in unconstrained Euclidean space. However, these do not generalize cleanly to manifold-valued parameter"
2506.19133v3,Riemannian Generative Decoder,2025-06-23,3,cs.LG;q-bio.QM;stat.ML,"Euclidean representations distort data with intrinsic non-Euclidean structure. While Riemannian representation learning offers a solution by embedding data onto matching manifolds, it typically relies on an encoder to estimate densities on chosen manifolds. This involves optimizing numerically britt"
1708.09485v2,Learning Invariant Riemannian Geometric Representations Using Deep Nets,2017-08-30,2,cs.CV,"Non-Euclidean constraints are inherent in many kinds of data in computer vision and machine learning, typically as a result of specific invariance requirements that need to be respected during high-level inference. Often, these geometric constraints can be expressed in the language of Riemannian geo"
2303.15244v3,Manifold Learning by Mixture Models of VAEs for Inverse Problems,2023-03-27,4,cs.LG;stat.ML,"Representing a manifold of very high-dimensional data with generative models has been shown to be computationally efficient in practice. However, this requires that the data manifold admits a global parameterization. In order to represent manifolds of arbitrary topology, we propose to learn a mixtur"
1902.01144v5,Riemannian adaptive stochastic gradient algorithms on matrix manifolds,2019-02-04,3,cs.LG;math.OC;stat.ML,"Adaptive stochastic gradient algorithms in the Euclidean space have attracted much attention lately. Such explorations on Riemannian manifolds, on the other hand, are relatively new, limited, and challenging. This is because of the intrinsic non-linear structure of the underlying manifold and the ab"
2201.09267v1,"Spectral, Probabilistic, and Deep Metric Learning: Tutorial and Survey",2022-01-23,4,stat.ML;cs.CV;cs.LG,"This is a tutorial and survey paper on metric learning. Algorithms are divided into spectral, probabilistic, and deep metric learning. We first start with the definition of distance metric, Mahalanobis distance, and generalized Mahalanobis distance. In spectral methods, we start with methods using s"
2505.06288v2,IIKL: Isometric Immersion Kernel Learning with Riemannian Manifold for Geometric Preservation,2025-05-07,4,cs.LG;stat.ML,"Geometric representation learning in preserving the intrinsic geometric and topological properties for discrete non-Euclidean data is crucial in scientific applications. Previous research generally mapped non-Euclidean discrete data into Euclidean space during representation learning, which may lead"
2206.05668v1,Federated Learning on Riemannian Manifolds,2022-06-12,2,cs.LG;math.OC,"Federated learning (FL) has found many important applications in smart-phone-APP based machine learning applications. Although many algorithms have been studied for FL, to the best of our knowledge, algorithms for FL with nonconvex constraints have not been studied. This paper studies FL over Rieman"
2505.02972v1,GeoERM: Geometry-Aware Multi-Task Representation Learning on Riemannian Manifolds,2025-05-05,2,stat.ML;cs.LG;stat.ME,"Multi-Task Learning (MTL) seeks to boost statistical power and learning efficiency by discovering structure shared across related tasks. State-of-the-art MTL representation methods, however, usually treat the latent representation matrix as a point in ordinary Euclidean space, ignoring its often non"
2510.21033v2,Iso-Riemannian Optimization on Learned Data Manifolds,2025-10-23,2,math.OC;cs.LG;math.DG,"High-dimensional data with intrinsic low-dimensional structure is ubiquitous in machine learning and data science. While various approaches allow one to learn a data manifold with a Riemannian structure from finite samples, performing downstream tasks such as optimization directly on these learned m"
2106.04315v2,Learning Riemannian Manifolds for Geodesic Motion Skills,2021-06-08,5,cs.RO;cs.AI;cs.LG,"For robots to work alongside humans and perform in unstructured environments, they must learn new motion skills and adapt them to unseen situations on the fly. This demands learning models that capture relevant motion patterns, while offering enough flexibility to adapt the encoded skills to new req"
2203.07761v2,Reactive Motion Generation on Learned Riemannian Manifolds,2022-03-15,5,cs.RO;cs.AI;cs.LG,"In recent decades, advancements in motion learning have enabled robots to acquire new skills and adapt to unseen conditions in both structured and unstructured environments. In practice, motion learning methods capture relevant patterns and adjust them to new conditions such as dynamic obstacle avoi"
2208.02797v2,Vision-Centric BEV Perception: A Survey,2022-08-04,10,cs.CV,"In recent years, vision-centric Bird's Eye View (BEV) perception has garnered significant interest from both industry and academia due to its inherent advantages, such as providing an intuitive representation of the world and being conducive to data fusion. The rapid advancements in deep learning ha"
2312.12144v1,M-BEV: Masked BEV Perception for Robust Autonomous Driving,2023-12-19,4,cs.CV,"3D perception is a critical problem in autonomous driving. Recently, the Bird-Eye-View (BEV) approach has attracted extensive attention, due to low-cost deployment and desirable vision detection capacity. However, the existing models ignore a realistic scenario during the driving procedure, i.e., on"
2212.13979v1,TiG-BEV: Multi-view BEV 3D Object Detection via Target Inner-Geometry Learning,2022-12-28,7,cs.CV;cs.AI,"To achieve accurate and low-cost 3D object detection, existing methods propose to benefit camera-based multi-view detectors with spatial cues provided by the LiDAR modality, e.g., dense depth supervision and bird-eye-view (BEV) feature distillation. However, they directly conduct point-to-point mimi"
2310.05989v3,QE-BEV: Query Evolution for Bird's Eye View Object Detection in Varied Contexts,2023-10-07,5,cs.CV,"3D object detection plays a pivotal role in autonomous driving and robotics, demanding precise interpretation of Bird's Eye View (BEV) images. The dynamic nature of real-world environments necessitates the use of dynamic query mechanisms in 3D object detection to adaptively capture and process the c"
2306.04939v1,UAP-BEV: Uncertainty Aware Planning using Bird's Eye View generated from Surround Monocular Images,2023-06-08,7,cs.RO,Autonomous driving requires accurate reasoning of the location of objects from raw sensor data. Recent end-to-end learning methods go from raw sensor data to a trajectory output via Bird's Eye View(BEV) segmentation as an interpretable intermediate representation. Motion planning over cost maps gene
2209.05324v4,"Delving into the Devils of Bird's-eye-view Perception: A Review, Evaluation and Recipe",2022-09-12,22,cs.CV;cs.LG;cs.RO,"Learning powerful representations in bird's-eye-view (BEV) for perception tasks is trending and drawing extensive attention both from industry and academia. Conventional approaches for most autonomous driving algorithms perform detection, segmentation, tracking, etc., in a front or perspective view."
2603.09529v2,RESBev: Making BEV Perception More Robust,2026-03-10,4,cs.CV,"Bird's-eye-view (BEV) perception has emerged as a cornerstone of autonomous driving systems, providing a structured, ego-centric representation critical for downstream planning and control. However, real-world deployment faces challenges from sensor degradation and adversarial attacks, which can cau"
2303.03583v2,Calibration-free BEV Representation for Infrastructure Perception,2023-03-07,5,cs.CV,"Effective BEV object detection on infrastructure can greatly improve traffic scenes understanding and vehicle-toinfrastructure (V2I) cooperative perception. However, cameras installed on infrastructure have various postures, and previous BEV detection methods rely on accurate calibration, which is d"
2411.10639v2,MTA: Multimodal Task Alignment for BEV Perception and Captioning,2024-11-16,8,cs.CV;cs.AI;cs.CL;cs.LG,"Bird's eye view (BEV)-based 3D perception plays a crucial role in autonomous driving applications. The rise of large language models has spurred interest in BEV-based captioning to understand object behavior in the surrounding environment. However, existing approaches treat perception and captioning"
2312.11578v1,Diffusion-Based Particle-DETR for BEV Perception,2023-12-18,4,cs.CV,"The Bird-Eye-View (BEV) is one of the most widely-used scene representations for visual perception in Autonomous Vehicles (AVs) due to its well suited compatibility to downstream tasks. For the enhanced safety of AVs, modeling perception uncertainty in BEV is crucial. Recent diffusion-based methods "
2401.08687v2,DA-BEV: Unsupervised Domain Adaptation for Bird's Eye View Perception,2024-01-13,6,cs.CV,"Camera-only Bird's Eye View (BEV) has demonstrated great potential in environment perception in a 3D space. However, most existing studies were conducted under a supervised setup which cannot scale well while handling various new data. Unsupervised domain adaptive BEV, which effective learning from "
2602.13555v1,Privacy-Concealing Cooperative Perception for BEV Scene Segmentation,2026-02-14,4,cs.CV;cs.AI,"Cooperative perception systems for autonomous driving aim to overcome the limited perception range of a single vehicle by communicating with adjacent agents to share sensing information. While this improves perception performance, these systems also face a significant privacy-leakage issue, as sensi"
2301.12511v2,Fast-BEV: A Fast and Strong Bird's-Eye View Perception Baseline,2023-01-29,11,cs.CV,"Recently, perception task based on Bird's-Eye View (BEV) representation has drawn more and more attention, and BEV representation is promising as the foundation for next-generation Autonomous Vehicle (AV) perception. However, most existing BEV solutions either require considerable resources to execu"
2508.21738v2,From Drone Imagery to Livability Mapping: AI-powered Environment Perception in Rural China,2025-08-29,6,cs.CY;cs.CV,"The high cost of acquiring rural street view images has constrained comprehensive environmental perception in rural areas. Drone photographs, with their advantages of easy acquisition, broad coverage, and high spatial resolution, offer a viable approach for large-scale rural environmental perception"
1904.06299v1,Effects of Demand Variation on Optimal Automated Demand Responsive Feeder Transit System Operation in Rural Areas,2019-04-09,3,physics.soc-ph;math.OC,"Improving accessibility is one of the major issues in rural and suburban transportation. With the recent technological improvement of automated vehicles, it is expected that automated demand responsive transit and automated demand responsive feeder transit potentially will be options to improve mobi"
2407.12491v2,Hierarchical and Decoupled BEV Perception Learning Framework for Autonomous Driving,2024-07-17,7,cs.CV,"Perception is essential for autonomous driving system. Recent approaches based on Bird's-eye-view (BEV) and deep learning have made significant progress. However, there exists challenging issues including lengthy development cycles, poor reusability, and complex sensor setups in perception algorithm"
2301.07870v1,Fast-BEV: Towards Real-time On-vehicle Bird's-Eye View Perception,2023-01-19,10,cs.CV,"Recently, the pure camera-based Bird's-Eye-View (BEV) perception removes expensive Lidar sensors, making it a feasible solution for economical autonomous driving. However, most existing BEV solutions either suffer from modest performance or require considerable resources to execute on-vehicle infere"
2306.00349v2,CALICO: Self-Supervised Camera-LiDAR Contrastive Pre-training for BEV Perception,2023-06-01,6,cs.CV;cs.LG,"Perception is crucial in the realm of autonomous driving systems, where bird's eye view (BEV)-based architectures have recently reached state-of-the-art performance. The desirability of self-supervised representation learning stems from the expensive and laborious process of annotating 2D and 3D dat"
2504.01957v2,Toward Real-world BEV Perception: Depth Uncertainty Estimation via Gaussian Splatting,2025-04-02,3,cs.CV,"Bird's-eye view (BEV) perception has gained significant attention because it provides a unified representation to fuse multiple view images and enables a wide range of down-stream autonomous driving tasks, such as forecasting and planning. Recent state-of-the-art models utilize projection-based meth"
2407.14108v2,GaussianBeV: 3D Gaussian Representation meets Perception Models for BeV Segmentation,2024-07-19,3,cs.CV,"The Bird's-eye View (BeV) representation is widely used for 3D perception from multi-view camera images. It allows to merge features from different cameras into a common space, providing a unified representation of the 3D scene. The key component is the view transformer, which transforms image views"
2211.10593v1,MatrixVT: Efficient Multi-Camera to BEV Transformation for 3D Perception,2022-11-19,4,cs.CV,"This paper proposes an efficient multi-camera to Bird's-Eye-View (BEV) view transformation method for 3D perception, dubbed MatrixVT. Existing view transformers either suffer from poor transformation efficiency or rely on device-specific operators, hindering the broad application of BEV models. In c"
2411.06173v2,LSSInst: Improving Geometric Modeling in LSS-Based BEV Perception with Instance Representation,2024-11-09,5,cs.CV,"With the attention gained by camera-only 3D object detection in autonomous driving, methods based on Bird-Eye-View (BEV) representation especially derived from the forward view transformation paradigm, i.e., lift-splat-shoot (LSS), have recently seen significant progress. The BEV representation form"
2206.07959v2,Simple-BEV: What Really Matters for Multi-Sensor BEV Perception?,2022-06-16,5,cs.CV,"Building 3D perception systems for autonomous vehicles that do not rely on high-density LiDAR is a critical research problem because of the expense of LiDAR systems compared to cameras and other sensors. Recent research has developed a variety of camera-only methods, where features are differentiabl"
2301.09957v1,Real-Time HAP-Assisted Vehicular Edge Computing for Rural Areas,2023-01-24,4,cs.NI;cs.IT;eess.SP,"Non-Terrestrial Networks (NTNs) are expected to be a key component of 6th generation (6G) networks to support broadband seamless Internet connectivity and expand the coverage even in rural and remote areas. In this context, High Altitude Platforms (HAPs) can act as edge servers to process computatio"
2605.30983v1,Can BEV Perception Gracefully Degrade under Sensor Failures?,2026-05-29,5,cs.CV,"Despite the remarkable success of multi-modal bird's-eye view (BEV) perception in autonomous driving, current systems exhibit a critical vulnerability: existing fusion mechanisms are highly brittle to sensor corruptions, often causing catastrophic performance degradation. This vulnerability largely "
2409.02676v1,Improved Single Camera BEV Perception Using Multi-Camera Training,2024-09-04,4,cs.CV,"Bird's Eye View (BEV) map prediction is essential for downstream autonomous driving tasks like trajectory prediction. In the past, this was accomplished through the use of a sophisticated sensor configuration that captured a surround view from multiple cameras. However, in large-scale production, co"
2410.12394v1,Real-time Stereo-based 3D Object Detection for Streaming Perception,2024-10-16,6,cs.CV,"The ability to promptly respond to environmental changes is crucial for the perception system of autonomous driving. Recently, a new task called streaming perception was proposed. It jointly evaluate the latency and accuracy into a single metric for video online perception. In this work, we introduc"
2409.17659v1,Hierarchical End-to-End Autonomous Driving: Integrating BEV Perception with Deep Reinforcement Learning,2024-09-26,6,cs.AI,"End-to-end autonomous driving offers a streamlined alternative to the traditional modular pipeline, integrating perception, prediction, and planning within a single framework. While Deep Reinforcement Learning (DRL) has recently gained traction in this domain, existing approaches often overlook the "
1901.01920v1,Data is Personal: Attitudes and Perceptions of Data Visualization in Rural Pennsylvania,2019-01-07,3,cs.HC,"Many of the guidelines that inform how designers create data visualizations originate in studies that unintentionally exclude populations that are most likely to be among the 'data poor'. In this paper, we explore which factors may drive attention and trust in rural populations with diverse economic"
2501.05997v1,Minimizing Occlusion Effect on Multi-View Camera Perception in BEV with Multi-Sensor Fusion,2025-01-10,7,cs.CV,"Autonomous driving technology is rapidly evolving, offering the potential for safer and more efficient transportation. However, the performance of these systems can be significantly compromised by the occlusion on sensors due to environmental factors like dirt, dust, rain, and fog. These occlusions "
2103.16273v1,Multi-modal Trajectory Prediction for Autonomous Driving with Semantic Map and Dynamic Graph Attention Network,2021-03-30,7,cs.CV;cs.RO,"Predicting future trajectories of surrounding obstacles is a crucial task for autonomous driving cars to achieve a high degree of road safety. There are several challenges in trajectory prediction in real-world traffic scenarios, including obeying traffic rules, dealing with social interactions, han"
2011.08729v3,Control Strategies for Autonomous Vehicles,2020-11-17,3,cs.RO;eess.SY,"This chapter focuses on the self-driving technology from a control perspective and investigates the control strategies used in autonomous vehicles and advanced driver-assistance systems from both theoretical and practical viewpoints. First, we introduce the self-driving technology as a whole, includ"
